event,i,id,name,status,mother1,mother2,px,py,pz,E,m,pT,eta,phi,charge,isFinal
3,5,-24,W-,22,3,4,-1.325106419,8.05610784,6999.473885,6999.933598,79.80636544,8.164360388,7.446959399,1.733821254,-1,0
3,6,24,W+,22,3,4,1.325106419,-8.05610784,-5097.518276,5098.11072,77.28958644,8.164360388,-7.129878522,-1.4077714,1,0
3,7,24,W+,51,6,0,9.556062104,-34.7153823,-5006.054845,5006.780928,77.28958644,36.00661177,-5.62786096,-1.302180219,1,0
3,8,22,gamma,51,6,0,-8.231371553,26.66180276,-89.26679103,93.52629141,0,27.9035339,-1.879601472,1.870245434,0,0
3,9,-24,W-,52,5,5,-1.324690551,8.053579535,6997.277244,6997.737098,79.80636544,8.161798109,7.446959407,1.733821254,-1,0
3,10,13,mu-,42,16,16,4.484190796e-13,-4.45254944e-13,6999.999963,6999.999963,0,6.319269231e-13,37.63681524,-0.7818575856,-1,0
3,11,-13,mu+,41,17,0,-4.486411243e-13,4.451994329e-13,-6999.651852,6999.651852,0,6.320454045e-13,-37.63657803,2.360044925,1,0
3,12,-24,W-,44,9,9,-1.324656296,8.053545521,6997.276343,6997.736197,79.80636544,8.161758987,7.446964071,1.733817789,-1,0
3,13,24,W+,44,7,7,10.30194299,-35.45599873,-5006.051658,5006.784411,77.28958644,36.92232218,-5.602747266,-1.288026378,1,0
3,14,22,gamma,44,8,8,-8.217754844,26.64828216,-89.26937804,93.52370979,0,27.88659959,-1.880208573,1.8699219,0,0
3,15,22,gamma,43,11,0,-0.7595318468,0.7541710423,-1901.607196,1901.607498,0,1.07035629,-8.175610386,2.359735992,0,0
3,16,13,mu-,42,1,0,1.596639487e-13,2.870065297e-13,6999.999963,6999.999963,0,3.284285685e-13,38.29126963,1.063123237,-1,0
3,17,-13,mu+,41,2,0,-1.596917043e-13,-2.870759186e-13,-6999.999908,6999.999908,0,3.285026993e-13,-38.29104394,-2.078440564,1,0
3,18,-24,W-,44,12,12,-1.324660596,8.05353779,6997.212447,6997.672306,79.80636544,8.161752056,7.446955789,1.733818462,-1,0
3,19,24,W+,44,13,13,10.20829904,-35.62433385,-5006.096785,5006.830535,77.28958644,37.05809671,-5.599085823,-1.291720405,1,0
3,20,22,gamma,1,14,14,-8.219464397,26.64520906,-89.27060148,93.52415223,0,27.88416685,-1.880304928,1.870012964,0,1
3,21,22,gamma,1,15,15,-0.7951009953,0.690231654,-1901.624531,1901.624823,0,1.052903286,-8.192059691,2.426680794,0,1
3,22,22,gamma,1,17,0,0.1309269532,0.2353553473,-0.220473591,0.348055471,0,0.2693213816,-0.7471470388,1.063133114,0,1
3,23,22,gamma,1,1,0,0,0,3.68675901e-05,3.68675901e-05,0,0,36.53667133,0,0,1
3,24,22,gamma,1,2,0,0,0,-9.21131832e-05,9.21131832e-05,0,0,-37.45235656,0,0,1
3,25,11,e-,23,18,0,-0.4467745762,-15.32328724,6377.583056,6377.60148,0.000511,15.32979906,6.723894513,-1.599944644,-1,0
3,26,-12,nu_ebar,23,18,0,-0.8778860203,23.37682503,619.6293909,620.0708256,0,23.39330315,3.970175077,1.608332377,0,0
3,27,11,e-,1,25,0,-0.4471912086,-15.30080566,6368.925047,6368.943442,0.000511,15.30733922,6.724002206,-1.600014654,-1,1
3,28,22,gamma,1,25,0,0.0004162431251,-0.02247121259,8.658283386,8.658312556,0,0.02247506738,6.647014045,-1.552275051,0,1
3,29,-12,nu_ebar,1,26,26,-0.877885631,23.37681466,619.6291162,620.0705506,0,23.39329278,3.970175077,1.608332377,0,1
3,30,-15,tau+,1,19,0,-22.30111529,-40.3693128,-3820.051138,3820.329944,1.77682,46.11963963,-5.109963825,-2.075501289,1,1
3,31,16,nu_tau,1,19,0,32.50941433,4.744978952,-1186.045647,1186.500591,0,32.85387108,-4.27964944,0.1449336587,0,1
4,0,90,system,11,0,0,0,0,0,14000,14000,0,inf,0,0,0
4,1,13,mu-,4,0,0,0,0,6999.999999,7000,0.10566,0,55.59851447,0,-1,0
4,2,-13,mu+,4,0,0,0,0,-6999.999999,7000,0.10566,0,-55.59851447,0,1,0
4,3,13,mu-,21,7,7,0,0,6999.87943,6999.87943,0,0,55.59849724,0,-1,0
4,4,-13,mu+,21,8,0,0,0,-6989.659519,6989.659519,0,0,-55.59703616,0,1,0
4,5,-24,W-,22,3,4,5713.787781,1300.983425,3823.5475,6997.557752,79.81436144,5860.028044,0.6133019614,0.2238751878,-1,0
4,6,24,W+,22,3,4,-5713.787781,-1300.983425,-3813.32759,6991.981196,80.0316552,5860.028044,-0.6118407868,-2.917717466,1,0
4,7,13,mu-,42,12,0,-3.854694341e-13,-3.639311075e-13,6999.87943,6999.87943,0,5.301250189e-13,37.81245892,-2.384927321,-1,0
4,8,-13,mu+,41,13,13,3.865796572e-13,3.645972413e-13,-6999.99966,6999.99966,0,5.313896684e-13,-37.81009336,0.7561425459,1,0
4,9,-24,W-,44,5,5,5714.668535,1301.815436,3824.731612,6999.078663,79.81436144,5861.071566,0.6133738677,0.2239802389,-1,0
4,10,24,W+,44,6,6,-5710.789422,-1298.151002,-3815.995056,6990.460298,80.0316552,5856.476061,-0.6125532094,-2.918075373,1,0
4,11,22,gamma,43,8,0,-3.879113244,-3.664433987,-8.856785934,10.34012829,0,5.336252992,-1.280225829,-2.384645473,0,0
4,12,13,mu-,41,1,0,-1.387778781e-17,-1.040834086e-17,6999.999999,6999.999999,0,1.734723476e-17,48.13991117,-2.498091545,-1,0
4,13,-13,mu+,42,2,0,-3.469446952e-18,0,-6999.99966,6999.99966,0,3.469446952e-18,-49.74934903,3.141592654,1,0
4,14,-24,W-,44,9,9,5714.634274,1301.780454,3824.865477,6999.117336,79.81436144,5861.03039,0.6133968343,0.2239757177,-1,0
4,15,24,W+,44,10,10,-5710.79947,-1298.161262,-3815.905897,6990.421742,80.0316552,5856.488133,-0.6125393288,-2.918074045,1,0
4,16,22,gamma,1,11,11,-3.879117939,-3.664438781,-8.85664523,10.34001123,0,5.336259698,-1.280211145,-2.384645424,0,1
4,17,22,gamma,1,12,0,0.04431444129,0.04524676964,-0.1025955974,0.1205690527,0,0.0633327709,-1.259506937,0.7958077444,0,1
4,18,22,gamma,1,1,0,0,0,1.294398317e-06,1.294398317e-06,0,0,33.18738445,0,0,1
4,19,22,gamma,1,2,0,0,0,-0.0003400442429,0.0003400442429,0,0,-38.75841422,0,0,1
4,20,13,mu-,23,14,0,4972.823034,1131.157629,3295.879036,6072.174663,0.10566,5099.851617,0.6080939138,0.2236621831,-1,0
4,21,-14,nu_mubar,23,14,0,741.8112395,170.6228252,528.9864412,926.9426727,0,761.1807036,0.648528757,0.2260763774,0,0
4,22,13,mu-,1,20,0,4972.823015,1131.157625,3295.879023,6072.17464,0.10566,5099.851597,0.6080939138,0.223662183,-1,1
4,23,22,gamma,1,20,0,1.985062265e-05,4.574479969e-06,1.29942569e-05,2.416244605e-05,0,2.037088821e-05,0.601037351,0.2264911437,0,1
4,24,-14,nu_mubar,1,21,21,741.8112388,170.6228251,528.9864407,926.9426718,0,761.1807029,0.648528757,0.2260763774,0,1
4,25,-15,tau+,1,15,0,-4287.645203,-940.3715451,-2848.880723,5233.003398,1.77682,4389.55579,-0.6103969562,-2.925689892,1,1
4,26,16,nu_tau,1,15,0,-1423.154267,-357.789717,-967.0251741,1757.418344,0,1467.440476,-0.6187444837,-2.895291006,0,1
5,0,90,system,11,0,0,0,0,0,14000,14000,0,inf,0,0,0
5,1,13,mu-,4,0,0,0,0,6999.999999,7000,0.10566,0,55.59851447,0,-1,0
5,2,-13,mu+,4,0,0,0,0,-6999.999999,7000,0.10566,0,-55.59851447,0,1,0
5,3,13,mu-,21,1,0,0,0,6999.999993,6999.999993,0,0,55.59851447,0,-1,0
5,4,-13,mu+,21,2,0,0,0,-6999.97029,6999.97029,0,0,-55.59851022,0,1,0
5,5,-24,W-,22,3,4,4261.857956,-3597.607861,4229.329471,6999.996591,80.67794775,5577.294645,0.6997835215,-0.701082602,-1,0
5,6,24,W+,22,3,4,-4261.857956,3597.607861,-4229.299768,6999.973692,80.24710031,5577.294645,-0.6997792779,2.440510052,1,0
5,7,-24,W-,51,5,0,4247.601173,-3566.694567,4214.451365,6966.457859,80.67794775,5546.47869,0.7010027498,-0.6984816794,-1,0
5,8,22,gamma,1,5,0,13.097936,-29.9350632,13.72811144,35.44185351,0,32.67512718,0.4086688168,-1.15834815,0,1
5,9,24,W+,52,6,6,-4260.699109,3596.629631,-4228.149774,6998.07057,80.24710031,5575.778116,-0.6997792779,2.440510052,1,0
5,10,22,gamma,1,1,0,0,0,7.175422979e-06,7.175422979e-06,0,0,34.90000019,0,0,1
5,11,22,gamma,1,2,0,0,0,-0.0297102986,0.0297102986,0,0,-43.2285875,0,0,1
5,12,13,mu-,23,7,0,2950.090483,-2446.280207,2947.979991,4835.070501,0.10566,3832.404038,0.7084560627,-0.6923070599,-1,0
5,13,-14,nu_mubar,23,7,0,1297.51069,-1120.41436,1266.471375,2131.387358,0,1714.311036,0.6841341772,-0.7122856142,0,0
5,14,13,mu-,1,12,0,2950.090041,-2446.279836,2947.979547,4835.069772,0.10566,3832.403461,0.7084560628,-0.6923070591,-1,1
5,15,22,gamma,1,12,0,0.0004619294389,-0.0003879528755,0.0004628066076,0.0007603132224,0,0.0006032298402,0.7068618259,-0.6985736958,0,1
5,16,-14,nu_mubar,1,13,13,1297.51067,-1120.414343,1266.471356,2131.387326,0,1714.31101,0.6841341772,-0.7122856142,0,1
5,17,-11,e+,1,9,0,-1859.242375,1610.821701,-1834.870511,3068.921399,0.000511,2459.985521,-0.689853301,2.427662214,1,1
5,18,12,nu_e,1,9,0,-2401.456734,1985.80793,-2393.279262,3929.149171,0,3116.155897,-0.7075032221,2.450652409,0,1
6,0,90,system,11,0,0,0,0,0,14000,14000,0,inf,0,0,0
6,1,13,mu-,4,0,0,0,0,6999.999999,7000,0.10566,0,55.59851447,0,-1,0
6,2,-13,mu+,4,0,0,0,0,-6999.999999,7000,0.10566,0,-55.59851447,0,1,0
6,3,13,mu-,21,6,6,0,0,6999.999997,6999.999997,0,0,55.59851447,0,-1,0
6,4,-13,mu+,21,7,0,0,0,-6549.388608,6549.388608,0,0,-55.53197602,0,1,0
6,5,23,Z0,22,3,4,0,0,450.6113894,13549.38861,13541.89355,0,52.85545434,0,0,0
6,6,13,mu-,42,1,0,2.092548357e-12,-3.339550858e-13,6999.999997,6999.999997,0,2.11902917e-12,36.42687568,-0.1582579375,-1,0
6,7,-13,mu+,41,2,0,-2.092548357e-12,3.335109966e-13,-6999.999898,6999.999898,0,2.118959228e-12,-36.42690867,2.983541676,1,0
6,8,23,Z0,44,5,5,-36.3516089,5.810409091,449.1051365,13549.38861,13541.89355,36.81304556,3.196227461,2.983094262,0,0
6,9,22,gamma,1,7,0,36.3516089,-5.810409091,-449.1050369,450.6112898,0,36.81304556,-3.19622724,-0.1584983917,0,1
6,10,22,gamma,1,1,0,0,0,2.644520464e-06,2.644520464e-06,0,0,33.90182823,0,0,1
6,11,22,gamma,1,2,0,0,0,-0.0001022206334,0.0001022206334,0,0,-37.55647203,0,0,1
6,12,16,nu_tau,1,8,0,1375.544426,-6623.04902,218.1567229,6767.90168,0,6764.384731,0.03224519765,-1.366017101,0,1
6,13,-16,nu_taubar,1,8,0,-1411.896034,6628.85943,230.9484136,6781.486925,0,6777.553227,0.03406889408,1.780652705,0,1
7,0,90,system,11,0,0,0,0,0,14000,14000,0,inf,0,0,0
7,1,13,mu-,4,0,0,0,0,6999.999999,7000,0.10566,0,55.59851447,0,-1,0
7,2,-13,mu+,4,0,0,0,0,-6999.999999,7000,0.10566,0,-55.59851447,0,1,0
7,3,13,mu-,21,10,10,0,0,6999.999624,6999.999624,0,0,55.59851441,0,-1,0
7,4,-13,mu+,21,11,0,0,0,-6977.378631,6977.378631,0,0,-55.59527761,0,1,0
7,5,-24,W-,22,3,4,-0.360404766,2.211664485,6999.51526,7000.029636,84.82930397,2.240837207,8.739893834,1.732332806,-1,0
7,6,24,W+,22,3,4,0.360404766,-2.211664485,-6976.894267,6977.348619,79.59343797,2.240837207,-8.736656806,-1.409259847,1,0
7,7,-24,W-,51,5,0,-6.922164833,4.709837706,6992.148652,6992.668223,84.82930397,8.372510806,7.4207369,2.544142844,-1,0
7,8,22,gamma,51,5,0,6.561846664,-2.498704634,5.690217422,9.037694994,0,7.021492469,0.7407686992,-0.3638396814,0,0
7,9,24,W+,52,6,6,0.3603181688,-2.211133072,-6975.217876,6975.672337,79.59343797,2.240298785,-8.736656806,-1.409259847,1,0
7,10,13,mu-,42,1,0,3.405054017e-13,1.295491492e-14,6999.999624,6999.999624,0,3.407517548e-13,38.25443473,0.03802779485,-1,0
7,11,-13,mu+,41,2,0,-3.405054017e-13,-1.295491492e-14,-6999.999991,6999.999991,0,3.407517548e-13,-38.25443478,-3.103564859,1,0
7,12,-24,W-,44,7,7,-6.922091919,4.709840478,6992.105088,6992.624663,84.82930397,8.372452082,7.420737684,2.544137671,-1,0
7,13,24,W+,44,9,9,2.318108919,-2.136706454,-6975.260214,6975.715025,79.59343797,3.152640708,-8.395031723,-0.7447001133,1,0
7,14,22,gamma,1,8,8,6.562316431,-2.498686776,5.691069891,9.038567865,0,7.021925131,0.7408242223,-0.3638134973,0,1
7,15,22,gamma,1,11,0,-1.95833343,-0.07444724796,-22.5363107,22.62135964,0,1.959747998,-3.137344258,-3.103595337,0,1
7,16,-24,W-,51,12,0,-6.922091912,4.709840478,6992.105088,6992.624663,84.82930397,8.372452076,7.420737684,2.544137671,-1,0
7,17,22,gamma,1,12,0,-7.423541434e-09,3.168681588e-10,2.51523972e-08,2.622694145e-08,0,7.430300994e-09,1.933669751,3.098934317,0,1
7,18,24,W+,52,13,13,2.318108919,-2.136706454,-6975.260214,6975.715025,79.59343797,3.152640708,-8.395031723,-0.7447001133,1,0
7,19,22,gamma,1,1,0,0,0,0.0003759382253,0.0003759382253,0,0,38.85876332,0,0,1
7,20,22,gamma,1,2,0,0,0,-9.343410966e-06,9.343410966e-06,0,0,-35.16400987,0,0,1
7,21,11,e-,1,16,0,36.22599259,2.445405836,4487.741893,4487.888768,0.000511,36.30843633,5.510218359,0.06740192233,-1,1
7,22,-12,nu_ebar,1,16,0,-43.14808451,2.264434641,2504.363195,2504.735894,0,43.20746302,4.75299812,3.089160218,0,1
7,23,-13,mu+,1,18,0,-1.285745242,-39.79503438,-2794.118782,2794.402454,0.10566,39.81579965,-4.944206184,-1.603094279,1,1
7,24,14,nu_mu,1,18,0,3.60385416,37.65832793,-4181.141432,4181.31257,0,37.83037704,-5.398394799,1.475388146,0,1
8,0,90,system,11,0,0,0,0,0,14000,14000,0,inf,0,0,0
8,1,13,mu-,4,0,0,0,0,6999.999999,7000,0.10566,0,55.59851447,0,-1,0
8,2,-13,mu+,4,0,0,0,0,-6999.999999,7000,0.10566,0,-55.59851447,0,1,0
8,3,13,mu-,21,7,7,0,0,6999.999975,6999.999975,0,0,55.59851446,0,-1,0
8,4,-13,mu+,21,8,0,0,0,-6959.200134,6959.200134,0,0,-55.59266886,0,1,0
8,5,-24,W-,22,3,4,529.2951727,-51.74847931,-1131.675394,12669.25107,12607.39475,531.818846,-1.499427896,-0.09745891949,-1,0
8,6,24,W+,22,3,4,-529.2951727,51.74847931,1172.475235,1289.949034,80.24368093,531.818846,1.531583629,3.044133734,1,0
8,7,13,mu-,42,1,0,-1.485034318e-12,-1.397992833e-12,6999.999975,6999.999975,0,2.039536929e-12,36.46511093,-2.386376327,-1,0
8,8,-13,mu+,41,2,0,1.486810675e-12,1.397992833e-12,-6999.997089,6999.997089,0,2.040830699e-12,-36.46447638,0.7546197087,1,0
8,9,-24,W-,44,5,5,549.0069581,-33.19265576,-1140.501068,12670.81905,12607.39475,550.0094476,-1.476075246,-0.06038593902,-1,0
8,10,24,W+,44,6,6,-529.1273855,51.9064269,1170.818787,1288.381057,80.24368093,531.6672524,1.530555836,3.043807356,1,0
8,11,22,gamma,1,8,0,-19.87957259,-18.71377114,-30.31483321,40.79695759,0,27.30206286,-0.9572908951,-2.386392626,0,1
8,12,22,gamma,1,1,0,0,0,2.549650208e-05,2.549650208e-05,0,0,36.16787975,0,0,1
8,13,22,gamma,1,2,0,0,0,-0.002911028866,0.002911028866,0,0,-40.90560034,0,0,1
8,14,15,tau-,23,9,0,3564.709066,2780.972402,4030.021954,6056.569848,1.77682,4521.167794,0.8024366497,0.6625133783,-1,0
8,15,-16,nu_taubar,23,9,0,-3015.702108,-2814.165058,-5170.523022,6614.249201,0,4124.801107,-1.049790406,-2.390750479,0,0
8,16,15,tau-,1,14,0,2668.932822,2235.756645,3065.825559,4639.083929,1.77682,3481.639008,0.794354515,0.6973079523,-1,1
8,17,22,gamma,1,14,0,894.1478301,543.6961686,961.4044247,1421.05747,0,1046.47306,0.8227088428,0.5463254248,0,1
8,18,-16,nu_taubar,1,15,15,-3014.073694,-2812.64547,-5167.731052,6610.67765,0,4122.573804,-1.049790406,-2.390750479,0,1
8,19,-13,mu+,23,10,0,-380.7606778,73.2481406,836.2523015,921.7710707,0.10566,387.7421616,1.511604783,2.951541219,1,0
8,20,14,nu_mu,23,10,0,-148.3667077,-21.3417137,334.5664852,366.6099858,0,149.8937914,1.542832611,-2.998728263,0,0
8,21,-13,mu+,1,19,0,-380.7510766,73.24629455,836.2312117,921.7478248,0.10566,387.7323845,1.511604779,2.951541216,1,1
8,22,22,gamma,1,19,0,-0.009601212411,0.001846047882,0.02108982437,0.02324589995,0,0.009777073823,1.511750531,2.951638427,0,1
8,23,14,nu_mu,1,20,20,-148.3667077,-21.3417137,334.5664852,366.6099858,0,149.8937914,1.542832611,-2.998728263,0,1
9,0,90,system,11,0,0,0,0,0,14000,14000,0,inf,0,0,0
9,1,13,mu-,4,0,0,0,0,6999.999999,7000,0.10566,0,55.59851447,0,-1,0
9,2,-13,mu+,4,0,0,0,0,-6999.999999,7000,0.10566,0,-55.59851447,0,1,0
9,3,13,mu-,21,10,10,0,0,6999.99999,6999.99999,0,0,55.59851447,0,-1,0
9,4,-13,mu+,21,11,0,0,0,-6834.16292,6834.16292,0,0,-55.57453831,0,1,0
9,5,-24,W-,22,3,4,6466.278292,2204.408157,1160.370269,6929.997983,79.01018639,6831.703322,0.1690445436,0.3285524921,-1,0
9,6,24,W+,22,3,4,-6466.278292,-2204.408157,-994.5331982,6904.164926,78.90988592,6831.703322,-0.1450668265,-2.813040162,1,0
9,7,-24,W-,51,5,0,4587.450445,3558.207727,711.1856624,5849.578743,79.01018639,5805.647579,0.1221946188,0.6597094704,-1,0
9,8,22,gamma,51,5,0,1045.938645,-1637.73844,321.0822297,1969.585908,0,1943.238238,0.1644877617,-1.002442747,0,0
9,9,24,W+,52,6,6,-5633.38909,-1920.469287,-866.4308218,6014.998259,78.90988592,5951.745535,-0.1450665783,-2.813040162,1,0
9,10,13,mu-,42,1,0,1.757025081e-12,-2.642899788e-12,6999.99999,6999.99999,0,3.173650331e-12,36.02295127,-0.9840805053,-1,0
9,11,-13,mu+,41,2,0,-1.757025081e-12,2.642858155e-12,-6999.999997,6999.999997,0,3.17361566e-12,-36.0229622,2.157519411,1,0
9,12,-24,W-,44,7,7,4587.389319,3558.299672,711.1946503,5849.587828,79.01018639,5805.655632,0.1221959868,0.6597284373,-1,0
9,13,24,W+,44,9,9,-5633.47095,-1920.346152,-866.398285,6015.030927,78.90988592,5951.783287,-0.1450602548,-2.813064182,1,0
9,14,22,gamma,1,8,8,1045.919035,-1637.708943,321.040445,1969.544154,0,1943.202822,0.1644695174,-1.002443081,0,1
9,15,22,gamma,1,11,0,0.1625964782,-0.2445774121,-165.8368173,165.8370774,0,0.2936932502,-7.029371664,-0.9840831335,0,1
9,16,22,gamma,1,1,0,0,0,1.007703668e-05,1.007703668e-05,0,0,35.23959772,0,0,1
9,17,22,gamma,1,2,0,0,0,-2.981254511e-06,2.981254511e-06,0,0,-34.02168267,0,0,1
9,18,15,tau-,1,12,0,4468.716491,3481.109875,697.0840492,5707.318317,1.77682,5664.587632,0.1227514808,0.6618014333,-1,1
9,19,-16,nu_taubar,1,12,0,118.6728275,77.18979699,14.11060113,142.2695112,0,141.5680216,0.09950934109,0.5766859123,0,1
9,20,-15,tau+,23,13,0,-4959.288,-1677.468769,-739.3029128,5287.249842,1.77682,5235.306958,-0.1407496371,-2.815425526,1,0
9,21,16,nu_tau,23,13,0,-674.1829501,-242.8773834,-127.0953722,727.7810846,0,716.5975673,-0.1764425534,-2.795811867,0,0
9,22,-15,tau+,1,20,0,-4959.288,-1677.468769,-739.3029128,5287.249842,1.77682,5235.306958,-0.1407496371,-2.815425526,1,1
9,23,22,gamma,1,20,0,-1.620359141e-08,-5.489691841e-09,-2.419620101e-09,1.727853155e-08,0,1.710827552e-08,-0.1409625118,-2.814934896,0,1
9,24,16,nu_tau,1,21,21,-674.1829501,-242.8773834,-127.0953722,727.7810846,0,716.5975673,-0.1764425534,-2.795811867,0,1
10,0,90,system,11,0,0,0,0,0,14000,14000,0,inf,0,0,0
10,1,13,mu-,4,0,0,0,0,6999.999999,7000,0.10566,0,55.59851447,0,-1,0
